run_name,cfg,Total money_made,Total distance driven,Average profit,Customers served,Customers cancelled,Waiting time,Average free time,Highest earning taxi id,Highest earning taxi per hour,Lowest earning taxi id,Lowest earning taxi per hour
,"cr=closest, ms=batching, bl=0.2",13800.141945447296,5769.070972723649,119.30497878209958,744,0,595.7371000907985,3.3741817772892126,16,35.154083849867185,45,4.002237437496642
,"cr=shortest, ms=None, bl=None",11938.281450040677,9828.984531368873,110.8053838196322,674,0,726.5283018617611,0.08747733299944697,89,31.365761599207815,90,0.0
,"cr=longest, ms=None, bl=None",13908.857945468044,10810.318697948322,119.865246998759,744,0,1260.2366866906389,0.14568048123518673,98,58.21193123778838,97,0.0
,"cr=closest, ms=None, bl=None",14080.22190149257,8485.46199608399,156.7484747123516,760,0,1005.5992145939744,0.2134624059516648,1,39.389507662572086,78,0.0
,"cr=closest, ms=allow_rellocation, bl=None",39132.758058620646,175433.56894693832,42.1462944711771,802,0,0,2.767454142411579,14,186.14109285030514,96,0.0
,"cr=closest, ms=batching, bl=0.01",13222.705547808202,5534.352773904101,117.62946595172224,705,0,250.8522380064013,3.0175332974452878,101,53.39357757067534,95,0.0
,"cr=closest, ms=batching, bl=0.05",13973.69520044067,5839.347600220338,143.88568180220906,752,0,674.2879062988421,2.649630910146911,89,127.43704109098385,88,0.0
,"cr=closest, ms=batching, bl=0.1",13693.68295460809,5702.341477304044,126.80014807219482,752,0,474.47502653710546,3.184133819712211,97,56.4188620341551,98,0.0
,"cr=closest, ms=batching, bl=0.2",12999.112108119274,5418.056054059637,150.82912528237145,709,0,1188.398101764064,2.3199477448987413,74,40.20540700512415,78,0.0
,"cr=shortest, ms=None, bl=None",12170.762824172358,9685.912728950807,114.9840480717101,696,0,966.8603737873505,0.10074163254368716,84,34.660391799326824,87,0.0
,"cr=longest, ms=None, bl=None",10740.89752153039,8303.891064975127,114.93821909538443,452,0,1002.5257832113864,0.1418301119099994,77,38.67196135816796,76,0.0
,"cr=closest, ms=None, bl=None",14190.008177106354,8245.721958655859,137.8116899491778,746,0,616.0446684737634,0.7010584112821175,6,40.34562967123479,90,0.0
,"cr=closest, ms=allow_rellocation, bl=None",25789.34145309221,97055.59191672839,66.43982364319297,735,0,0,3.2015950971034832,93,123.63587329345204,25,6.001862069681213
,"cr=closest, ms=batching, bl=0.01",14018.464704624203,5863.232352312102,135.21913930696607,752,0,583.9479764900692,2.621041338055244,94,51.6083148848138,95,0.0
,"cr=closest, ms=batching, bl=0.05",13655.598631471403,5699.7993157357005,118.07206385211576,741,0,262.623285611152,3.4213622073726904,3,35.763523586382554,106,0.0
,"cr=closest, ms=batching, bl=0.1",14535.13257436754,6057.066287183768,143.26579910678262,789,0,809.6422748318593,2.650176404321147,92,57.02990902286666,93,0.0
,"cr=closest, ms=batching, bl=0.2",13995.202063492303,5829.101031746153,133.63939434524045,766,0,626.8141720965549,3.046512130776955,95,51.86730078498758,94,0.0
,"cr=shortest, ms=None, bl=None",10010.098934368787,8071.835301911558,106.275087012487,629,0,1001.440115114423,0.1073980497198877,79,56.21788378574896,77,0.0
,"cr=longest, ms=None, bl=None",11743.673097576308,9217.465832758597,119.27927627740473,542,0,718.448221375514,0.09950207957043215,83,72.0177489102375,18,19.370967299039915
,"cr=closest, ms=None, bl=None",14642.834601205208,6949.807549699807,111.36868143920381,777,0,404.49749974682607,1.8756780822110788,117,78.74056432910413,116,0.0
,"cr=closest, ms=allow_rellocation, bl=None",28453.3203186688,112467.1084747559,72.68169053314162,740,0,0,2.695913078121556,5,149.2417472427848,55,19.907379335749933
